solar_curr_mA,load_power_mW
0.0,7785.531613014569
0.0,7785.411927543339
0.0,7785.292240232161
0.0,7785.172551080951
0.0,7785.052860089625
0.0,7784.933167258096
0.0,7784.813472586278
0.0,7784.693776074089
0.0,7784.574077721444
0.0,7784.454377528256
0.0,7784.334675494443
0.0,7784.214971619918
0.0,7784.095265904597
0.0,7783.975558348394
0.0,7783.855848951224
0.0,7783.736137713004
0.0,7783.616424633647
0.0,7783.496709713069
0.0,7783.376992951186
0.0,7783.257274347911
0.0,7783.13755390316
0.0,7783.017831616848
0.0,7782.89810748889
0.0,7782.7783815192015
0.0,7782.658653707696
0.0,7782.53892405429
0.0,7782.419192558898
0.0,7782.299459221435
0.0,7782.179724041817
0.0,7782.059987019957
0.0,7781.940248155771
0.0,7781.820507449174
0.0,7781.700764900081
0.0,7781.581020508406
0.0,7781.4612742740655
0.0,7781.341526196973
0.0,7781.221776277044
0.0,7781.1020245141935
0.0,7780.982270908337
0.0,7780.862515459389
0.0,7780.742758167263
0.0,7780.622999031876
0.0,7780.50323805314
0.0,7780.383475230974
0.0,7780.26371056529
0.0,7780.143944056004
0.0,7780.024175703031
0.0,7779.904405506284
0.0,7779.78463346568
0.0,7779.664859581133
0.0,7779.545083852556
0.0,7779.425306279867
0.0,7779.30552686298
0.0,7779.185745601808
0.0,7779.065962496268
0.0,7778.946177546274
0.0,7778.826390751741
0.0,7778.706602112583
0.0,7778.586811628716
0.0,7778.467019300051
0.0,7778.347225126508
0.0,7778.227429107999
0.0,7778.107631244439
0.0,7777.987831535745
0.0,7777.868029981828
0.0,7777.748226582605
0.0,7777.62842133799
0.0,7777.5086142478995
0.0,7777.3888053122455
0.0,7777.268994530943
0.0,7777.149181903908
0.0,7777.029367431055
0.0,7776.909551112299
0.0,7776.7897329475545
0.0,7776.669912936733
0.0,7776.5500910797555
0.0,7776.4302673765305
0.0,7776.310441826977
0.0,7776.190614431007
0.0,7776.070785188536
0.0,7775.950954099479
0.0,7775.831121163751
0.0,7775.711286381265
0.0,7775.591449751937
0.0,7775.471611275681
0.0,7775.351770952412
0.0,7775.231928782044
0.0,7775.1120847644925
0.0,7774.992238899672
0.0,7774.872391187498
0.0,7774.75254162788
0.0,7774.632690220739
0.0,7774.512836965987
0.0,7774.392981863537
0.0,7774.273124913305
0.0,7774.153266115206
0.0,7774.033405469155
0.0,7773.913542975064
0.0,7773.793678632849
0.0,7773.6738124424255
0.0,7773.553944403707
0.0,7773.434074516606
0.0,7773.314202781042
0.0,7773.194329196925
0.0,7773.074453764171
0.0,7772.954576482694
0.0,7772.83469735241
0.0,7772.714816373232
0.0,7772.594933545074
0.0,7772.475048867853
0.0,7772.3551623414805
0.0,7772.235273965873
0.0,7772.115383740943
0.0,7771.9954916666065
0.0,7771.875597742778
0.0,7771.755701969371
0.0,7771.6358043463
0.0,7771.5159048734795
0.0,7771.396003550824
0.0,7771.276100378249
0.0,7771.156195355667
0.0,7771.036288482993
0.0,7770.916379760141
0.0,7770.796469187027
0.0,7770.676556763563
0.0,7770.556642489664
0.0,7770.436726365247
0.0,7770.316808390223
0.0,7770.196888564507
0.0,7770.076966888014
0.0,7769.957043360659
0.0,7769.837117982354
0.0,7769.7171907530155
0.0,7769.597261672558
0.0,7769.477330740894
0.0,7769.357397957938
0.0,7769.237463323606
0.0,7769.11752683781
0.0,7768.997588500466
0.0,7768.877648311487
0.0,7768.757706270788
0.0,7768.637762378283
0.0,7768.517816633886
0.0,7768.397869037512
0.0,7768.277919589074
0.0,7768.157968288488
0.0,7768.038015135666
0.0,7767.918060130524
0.0,7767.798103272977
0.0,7767.678144562934
0.0,7767.558184000314
0.0,7767.438221585032
0.0,7767.318257316998
0.0,7767.1982911961295
0.0,7767.078323222339
0.0,7766.958353395541
0.0,7766.838381715651
0.0,7766.718408182581
0.0,7766.598432796245
0.0,7766.478455556558
0.0,7766.358476463436
0.0,7766.238495516792
0.0,7766.118512716537
0.0,7765.998528062588
0.0,7765.878541554859
0.0,7765.758553193264
0.0,7765.638562977716
0.0,7765.518570908131
0.0,7765.39857698442
0.0,7765.2785812065
0.0,7765.158583574284
0.0,7765.038584087686
0.0,7764.91858274662
0.0,7764.798579551
0.0,7764.678574500739
0.0,7764.558567595753
0.0,7764.4385588359555
0.0,7764.318548221258
0.0,7764.198535751579
0.0,7764.078521426828
0.0,7763.958505246922
0.0,7763.838487211773
0.0,7763.718467321297
0.0,7763.598445575407
0.0,7763.478421974015
0.0,7763.358396517038
0.0,7763.2383692043895
0.0,7763.118340035981
0.0,7762.998309011729
0.0,7762.878276131546
0.0,7762.758241395346
0.0,7762.638204803044
0.0,7762.518166354552
0.0,7762.398126049787
0.0,7762.278083888658
0.0,7762.158039871084
0.0,7762.037993996976
0.0,7761.917946266249
0.0,7761.797896678815
0.0,7761.677845234591
0.0,7761.557791933487
0.0,7761.43773677542
0.0,7761.317679760303
0.0,7761.197620888049
0.0,7761.077560158572
0.0,7760.957497571787
0.0,7760.837433127607
0.0,7760.717366825947
0.0,7760.5972986667175
0.0,7760.4772286498355
0.0,7760.3571567752115
0.0,7760.2370830427635
0.0,7760.117007452402
0.0,7759.996930004042
0.0,7759.876850697598
0.0,7759.756769532981
0.0,7759.636686510108
0.0,7759.516601628891
0.0,7759.396514889244
0.0,7759.276426291081
0.0,7759.1563358343155
0.0,7759.036243518861
0.0,7758.916149344632
0.0,7758.79605331154
0.0,7758.675955419501
0.0,7758.555855668429
